Linux 3.10.0-514.26.2.el7.x86_64 (izbp1anxq3o4vzei3wfddjz) 	10/22/2020 	_x86_64_	(8 CPU)

07:31:34 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:31:34 PM  all    2.49    0.49    0.41    0.13    0.00    0.00    0.00    0.00    0.00   96.47
07:31:34 PM    0    2.28    0.26    0.42    0.65    0.00    0.01    0.00    0.00    0.00   96.38
07:31:34 PM    1    2.44    0.31    0.43    0.12    0.00    0.01    0.00    0.00    0.00   96.69
07:31:34 PM    2    2.61    0.53    0.42    0.07    0.00    0.01    0.00    0.00    0.00   96.36
07:31:34 PM    3    2.54    0.49    0.42    0.05    0.00    0.01    0.00    0.00    0.00   96.48
07:31:34 PM    4    2.45    0.48    0.39    0.05    0.00    0.00    0.00    0.00    0.00   96.63
07:31:34 PM    5    2.43    0.48    0.38    0.04    0.00    0.01    0.00    0.00    0.00   96.66
07:31:34 PM    6    2.57    0.66    0.39    0.04    0.00    0.00    0.00    0.00    0.00   96.34
07:31:34 PM    7    2.61    0.74    0.40    0.04    0.00    0.00    0.00    0.00    0.00   96.21
